local_time,demand_mw,solar_mw,wind_mw,renewable_gen_mw,residual_demand_mw,date,hour,n_intervals,avg_price_mwh,max_price_mwh,scarcity_flag_any,scarcity_flag_avg
1/1/2022 0:00,"45,943",50,"16,317","16,367","29,576",01/01/2022,1,4,65.09,127.4,1,0
1/1/2022 1:00,"46,427",0,"18,425","18,425","28,002",01/01/2022,2,4,32.8125,34.33,0,0
1/1/2022 2:00,"45,058",0,"17,909","17,909","27,149",01/01/2022,3,4,25.9375,30.35,0,0
1/1/2022 3:00,"43,430",0,"15,107","15,107","28,323",01/01/2022,4,4,22.5925,23.59,0,0
1/1/2022 4:00,"42,058",0,"13,970","13,970","28,088",01/01/2022,5,4,16.115,21.87,0,0
1/1/2022 5:00,"40,784",0,"13,328","13,328","27,456",01/01/2022,6,4,13.6275,22.37,0,0
1/1/2022 6:00,"39,336",0,"12,632","12,632","26,704",01/01/2022,7,4,11.475,19.73,0,0
1/1/2022 7:00,"38,123",0,"12,067","12,067","26,056",01/01/2022,8,4,11.19,19.68,0,0
1/1/2022 8:00,"37,122",0,"12,886","12,886","24,236",01/01/2022,9,4,10.3225,20.67,0,0
1/1/2022 9:00,"35,936",0,"14,370","14,370","21,566",01/01/2022,10,4,-0.06,-0.02,0,0
1/1/2022 10:00,"35,132",0,"16,468","16,468","18,664",01/01/2022,11,4,-1.1025,-0.47,0,0
1/1/2022 11:00,"34,602",0,"18,338","18,338","16,264",01/01/2022,12,4,-1.7525,-1.15,0,0
1/1/2022 12:00,"34,451",0,"18,163","18,163","16,288",01/01/2022,13,4,-0.6225,-0.36,0,0
1/1/2022 13:00,"34,571",0,"18,539","18,539","16,032",01/01/2022,14,4,-0.0,0.13,0,0
1/1/2022 14:00,"34,635",8,"18,307","18,315","16,320",01/01/2022,15,4,0.6175,0.87,0,0
1/1/2022 15:00,"35,606","1,349","17,297","18,646","16,960",01/01/2022,16,4,0.6325,1.06,0,0
1/1/2022 16:00,"37,917","3,459","16,918","20,377","17,540",01/01/2022,17,4,-0.01,0.47,0,0
1/1/2022 17:00,"39,989","3,242","17,692","20,934","19,055",01/01/2022,18,4,-0.775,-0.57,0,0
1/1/2022 18:00,"41,835","2,691","17,781","20,472","21,363",01/01/2022,19,4,-3.48,-2.22,0,0
1/1/2022 19:00,"43,163","3,593","16,336","19,929","23,234",01/01/2022,20,4,-4.52,-3.94,0,0
1/1/2022 20:00,"44,006","4,743","14,857","19,600","24,406",01/01/2022,21,4,-4.8075,-4.8,0,0
1/1/2022 21:00,"44,248","5,070","14,037","19,107","25,141",01/01/2022,22,4,-3.8375,-1.89,0,0
1/1/2022 22:00,"44,208","4,630","14,347","18,977","25,231",01/01/2022,23,4,-1.2675,-0.65,0,0
1/1/2022 23:00,"44,337","2,008","16,896","18,904","25,433",01/01/2022,24,4,4.78,16.32,0,0
1/2/2022 0:00,"44,983",231,"18,797","19,028","25,955",01/02/2022,1,4,6.8825,12.39,0,0
1/2/2022 1:00,"46,108",0,"19,859","19,859","26,249",01/02/2022,2,4,7.295,15.07,0,0
1/2/2022 2:00,"45,944",0,"20,444","20,444","25,500",01/02/2022,3,4,6.62,12.32,0,0
1/2/2022 3:00,"45,758",0,"20,860","20,860","24,898",01/02/2022,4,4,9.1775,17.82,0,0
1/2/2022 4:00,"45,518",0,"21,380","21,380","24,138",01/02/2022,5,4,11.3675,17.75,0,0
1/2/2022 5:00,"44,805",0,"21,761","21,761","23,044",01/02/2022,6,4,18.935,19.31,0,0
1/2/2022 6:00,"43,860",0,"21,548","21,548","22,312",01/02/2022,7,4,20.3775,20.97,0,0
1/2/2022 7:00,"42,879",0,"20,687","20,687","22,192",01/02/2022,8,4,23.19,23.98,0,0
1/2/2022 8:00,"42,167",0,"19,944","19,944","22,223",01/02/2022,9,4,22.9675,23.95,0,0
1/2/2022 9:00,"42,061",0,"19,967","19,967","22,094",01/02/2022,10,4,20.9675,22.47,0,0
1/2/2022 10:00,"42,513",0,"20,258","20,258","22,255",01/02/2022,11,4,25.21,27.64,0,0
1/2/2022 11:00,"43,467",0,"20,747","20,747","22,720",01/02/2022,12,4,27.185,28.89,0,0
1/2/2022 12:00,"44,872",0,"20,298","20,298","24,574",01/02/2022,13,4,23.085,24.07,0,0
1/2/2022 13:00,"46,851",0,"19,939","19,939","26,912",01/02/2022,14,4,22.4625,22.75,0,0
1/2/2022 14:00,"49,306",17,"19,360","19,377","29,929",01/02/2022,15,4,20.805,21.4,0,0
1/2/2022 15:00,"51,363","1,869","17,960","19,829","31,534",01/02/2022,16,4,20.095,20.86,0,0
1/2/2022 16:00,"52,453","5,499","15,770","21,269","31,184",01/02/2022,17,4,22.85,25.25,0,0
1/2/2022 17:00,"52,302","6,236","12,994","19,230","33,072",01/02/2022,18,4,36.0125,45.68,0,0
1/2/2022 18:00,"51,421","6,052","10,890","16,942","34,479",01/02/2022,19,4,38.5275,39.73,0,0
1/2/2022 19:00,"50,252","6,223","10,502","16,725","33,527",01/02/2022,20,4,38.4475,38.74,0,0
